eigenvalue_index,eigenvalue,degree,number,density
999,-4.2805552829091785e-14,10,2,1.2738853503184715
999,-4.2805552829091785e-14,11,0,0.0
999,-4.2805552829091785e-14,12,0,0.0
999,-4.2805552829091785e-14,13,0,0.0
999,-4.2805552829091785e-14,14,0,0.0
999,-4.2805552829091785e-14,15,0,0.0
999,-4.2805552829091785e-14,16,0,0.0
999,-4.2805552829091785e-14,17,0,0.0
999,-4.2805552829091785e-14,18,0,0.0
999,-4.2805552829091785e-14,19,0,0.0
999,-4.2805552829091785e-14,20,0,0.0
999,-4.2805552829091785e-14,21,0,0.0
999,-4.2805552829091785e-14,22,0,0.0
999,-4.2805552829091785e-14,23,0,0.0
999,-4.2805552829091785e-14,24,0,0.0
999,-4.2805552829091785e-14,25,0,0.0
999,-4.2805552829091785e-14,26,0,0.0
999,-4.2805552829091785e-14,27,0,0.0
999,-4.2805552829091785e-14,28,0,0.0
999,-4.2805552829091785e-14,29,0,0.0
999,-4.2805552829091785e-14,30,0,0.0
999,-4.2805552829091785e-14,31,0,0.0
999,-4.2805552829091785e-14,32,0,0.0
999,-4.2805552829091785e-14,33,0,0.0
999,-4.2805552829091785e-14,34,0,0.0
999,-4.2805552829091785e-14,35,0,0.0
999,-4.2805552829091785e-14,36,0,0.0
999,-4.2805552829091785e-14,37,0,0.0
999,-4.2805552829091785e-14,38,0,0.0
999,-4.2805552829091785e-14,39,0,0.0
999,-4.2805552829091785e-14,40,0,0.0
999,-4.2805552829091785e-14,41,0,0.0
999,-4.2805552829091785e-14,42,0,0.0
999,-4.2805552829091785e-14,43,0,0.0
999,-4.2805552829091785e-14,44,0,0.0
999,-4.2805552829091785e-14,45,0,0.0
999,-4.2805552829091785e-14,46,0,0.0
999,-4.2805552829091785e-14,47,0,0.0
999,-4.2805552829091785e-14,48,0,0.0
999,-4.2805552829091785e-14,49,0,0.0
999,-4.2805552829091785e-14,51,0,0.0
999,-4.2805552829091785e-14,52,0,0.0
999,-4.2805552829091785e-14,53,0,0.0
999,-4.2805552829091785e-14,54,0,0.0
999,-4.2805552829091785e-14,55,0,0.0
999,-4.2805552829091785e-14,57,0,0.0
999,-4.2805552829091785e-14,58,0,0.0
